ID;Sexe;Niveau;Filiere;Sport_trimestre;Precisez1;Etat;Sport_lycee;Ajout_ sport;Sport_etude;Sport_dehors;Foot;Basket;Volley;Boxe;Tennis_de_table;Autre1;Precisez2;Pourquoi;Lycee;Club;Chez_soi;Salle_sport;Exterieur;Interieur;Autre2;Precisez3;Nbre_heure;Competition
1;1;2;1;3;NA;2;5;Boxe;0;1;0;0;0;1;0;0;NA;Vide la tête;1;1;0;0;0;0;0;NA;4;1
2;1;2;2;3;NA;2;5;MMA;0;1;0;0;0;0;0;1;MMA;Progresser;1;1;0;0;0;1;0;NA;6;1
3;0;3;5;3;NA;3;7;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;1
4;1;3;1;4;NA;2;5;Escalade;0;1;0;0;0;0;0;1;Escalade;Vider la tete;1;1;0;0;0;1;0;NA;3;0
5;0;1;2;7;Frisbee;3;6;Volley-ball;0;0;0;0;0;0;0;0;NA;Intenat;1;0;0;0;0;0;0;NA;1;0
6;1;2;5;4;NA;3;0;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
7;0;2;4;3;NA;3;4;Yoga;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
8;0;2;2;3;NA;3;5;Danse;0;0;0;0;0;0;0;0;NA;Pas le temps;1;0;0;0;0;0;0;NA;1;1
9;0;1;3;7;Course d'orientation;3;6;Musculation;0;1;0;0;0;0;0;1;Musculation;Physique;1;0;0;1;0;0;0;NA;2;0
10;1;3;6;6;NA;3;3;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
11;1;2;3;3;NA;3;7;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;4;1
12;1;3;1;3;NA;3;8;Tennis;1;1;1;0;0;0;0;1;Tennis;Aime bien;1;1;0;0;1;1;0;NA;7;1
13;0;1;4;6;NA;3;5;VTT;0;1;0;0;0;0;0;1;VTT;Obligé;1;0;0;0;1;0;0;NA;2;1
14;1;3;5;7;Course d'orientation;3;9;NA;0;1;0;0;0;0;0;1;Badminton;Vider la tete;1;1;0;0;0;0;0;NA;5;1
15;0;3;1;4;NA;2;7;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;1
16;0;1;3;5;NA;2;4;NA;0;1;0;0;0;0;0;1;Course;Physique;1;0;0;0;1;0;0;NA;2;1
17;1;1;5;6;NA;2;6;Musculation;0;1;0;0;0;1;0;0;NA;Détente;1;1;0;0;0;0;0;NA;2;1
18;1;2;6;3;NA;3;6;Musculation;0;1;0;0;0;0;0;1;Musculation;Progresser;1;0;0;1;0;0;0;NA;5;1
19;0;3;5;3;NA;2;0;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
20;1;1;6;6;NA;3;6;Foot;0;1;1;0;0;0;0;0;NA;Compétiteur;1;1;0;0;0;0;0;NA;6;1
21;0;3;5;3;NA;3;7;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;0;0;NA;3;0
22;1;1;3;5;NA;2;7;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;1;0;0;NA;2;0
23;0;3;6;3;NA;3;9;Escalade;0;1;0;0;0;0;0;1;Escalade;Aime bien;1;1;0;0;0;1;0;NA;3;0
24;1;1;3;7;Ping-pong;2;6;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
25;1;2;1;5;NA;2;0;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;1;0;0;NA;2;0
26;0;3;4;4;NA;3;2;Danse;0;1;0;0;0;0;0;1;Danse;Déteste;1;1;0;0;0;1;0;NA;2;0
27;1;2;6;6;NA;2;3;Basket;0;0;0;0;0;0;0;0;NA;Flemme;1;0;0;0;0;0;0;NA;1;0
28;1;1;2;5;NA;2;4;Tennis;0;1;0;0;0;0;0;1;Tennis;Aime bien;1;1;0;0;1;0;0;NA;3;0
29;1;2;4;7;Frisbee;3;4;Foot;1;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;1;0;NA;5;1
30;0;3;2;5;NA;3;4;Natation;0;1;0;0;0;0;0;1;Natation;Détente;1;1;0;0;0;1;0;NA;2;0
31;0;1;1;5;NA;2;1;Foot;0;1;1;0;0;0;0;0;NA;Aime bien;1;1;0;0;0;1;0;NA;2;0
32;1;1;5;4;NA;3;4;Volley-ball;0;0;0;0;0;0;0;0;NA;Internat;1;0;0;0;0;0;0;NA;1;0
33;1;1;4;4;NA;3;7;Boxe;0;1;0;0;0;1;0;0;NA;Détente;1;1;0;0;0;1;0;NA;3;0
34;0;2;7;5;NA;3;8;Basket;1;1;0;1;0;0;0;0;NA;Aime bien;1;1;0;0;1;1;0;NA;3;0
35;1;3;3;5;NA;3;8;Foot;0;1;1;0;0;0;0;0;NA;Dépenser;1;0;1;0;1;0;0;NA;3;0
36;1;1;1;5;NA;2;4;Foot;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
37;0;3;2;4;NA;3;5;Basket;0;1;0;0;1;0;0;0;NA;Aime bien;1;1;0;0;0;1;0;NA;4;0
38;0;2;2;3;NA;2;7;NA;0;0;0;0;0;0;0;0;NA; Pas le temps;1;0;0;0;0;0;0;NA;1;0
39;1;2;3;3;NA;2;1;NA;0;0;0;0;0;0;0;0;NA;Déteste;1;0;0;0;0;0;0;NA;1;0
40;0;2;7;5;NA;3;5;Basket;1;0;0;0;0;0;0;0;NA;Internat;1;0;1;0;0;0;0;NA;3;0
